Jurisdiction,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
U.S. total,3717,2992,2927,2627,2369,2118,2259,2192,2626,2645,2217,1722,1276,1140,1005,960,923
Federal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,3717,2992,2927,2627,2369,2118,2259,2192,2626,2645,2217,1722,1276,1140,1005,960,923
Alabama,116,76,56,50,25,33,67,106,123,114,29,21,87,39,0,14,27
Alaska,9,13,8,18,13,8,4,10,9,7,7,0,0,0,0,0,4
Arizona,150,138,146,112,97,77,111,125,154,149,123,83,61,55,55,79,74
Arkansas,51,38,30,27,15,19,17,19,17,17,8,6,15,13,11,15,17
California,101,95,111,147,123,5,0,0,0,0,0,0,0,0,0,0,0
Colorado,84,62,62,45,42,32,29,35,36,43,38,17,7,1,3,2,4
Connecticut,365,309,353,280,297,363,405,417,349,310,211,138,102,86,83,84,61
Delaware,18,25,24,28,27,26,23,28,25,28,17,11,12,7,3,8,12
Florida,441,366,286,285,209,178,210,0,295,384,341,200,185,136,122,128,138
Georgia,126,57,37,63,77,71,57,60,113,94,94,87,92,87,94,75,64
Hawaii,1,3,3,1,0,1,1,1,0,2,0,0,0,0,0,0,0
Idaho,3,8,5,2,0,3,2,1,0,0,1,0,0,17,0,1,0
Illinois,142,108,109,96,106,81,95,0,74,105,72,71,0,67,17,20,3
Indiana,78,65,41,24,18,17,27,51,62,54,48,33,26,30,40,33,23
Iowa,28,18,12,15,11,15,17,15,16,13,13,12,8,15,4,5,7
Kansas,19,12,12,7,1,9,12,10,3,5,9,4,4,0,1,0,0
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Louisiana,39,33,55,12,8,10,9,11,25,14,22,172,38,23,18,11,11
Maine,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Maryland,90,55,80,63,63,47,66,35,60,57,54,36,23,18,18,4,8
Massachusetts,36,11,9,4,4,3,3,3,2,5,1,2,1,2,0,0,0
Michigan,93,48,103,104,79,96,112,144,137,129,106,106,89,72,89,87,84
Minnesota,16,13,13,18,21,16,11,10,13,11,29,5,7,13,10,10,8
Mississippi,135,86,104,80,70,55,37,71,38,27,24,23,8,8,19,27,24
Missouri,75,49,53,34,34,20,37,17,25,30,21,19,8,13,11,10,7
Montana,1,0,0,1,3,2,0,3,7,2,0,0,0,1,1,0,0
Nebraska,44,24,15,13,15,15,8,12,15,19,23,19,9,15,22,10,4
Nevada,90,66,51,16,27,16,0,47,115,115,33,60,0,0,9,9,15
New Hampshire,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
New Jersey,19,28,18,11,20,27,17,21,19,21,18,6,6,8,7,5,3
New Mexico,1,8,6,5,13,2,0,0,1,3,2,1,0,0,0,0,0
New York,252,246,202,217,221,216,211,243,202,184,217,179,132,127,94,87,66
North Carolina,254,203,191,173,183,164,176,152,178,206,177,110,115,64,82,67,68
North Dakota,7,2,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0
Ohio,104,80,82,67,54,49,63,93,73,84,76,59,30,17,23,28,30
Oklahoma,16,9,9,11,2,10,4,6,7,17,16,15,14,3,7,8,4
Oregon,14,11,23,6,6,6,6,0,8,9,6,1,0,0,0,0,0
Pennsylvania,66,54,42,49,39,31,36,58,53,59,56,41,21,28,29,16,28
Rhode Island,3,3,5,3,5,4,5,5,10,1,1,0,0,0,2,0,0
South Carolina,127,130,133,131,110,113,121,120,93,88,102,44,31,26,23,28,41
South Dakota,8,4,3,1,1,2,0,4,0,1,1,0,0,0,0,0,0
Tennessee,20,35,15,16,13,8,14,25,13,20,28,11,19,7,13,7,8
Texas,253,203,220,209,201,155,156,141,151,152,144,97,81,67,66,41,40
Utah,7,7,7,5,7,6,1,5,5,6,3,1,2,1,1,1,0
Vermont,12,8,1,7,5,4,4,5,8,4,3,1,2,2,0,0,0
Virginia,34,28,41,39,28,27,31,30,45,16,11,2,3,9,9,6,5
Washington,78,66,54,47,15,3,0,3,3,2,1,1,24,23,1,0,0
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,88,85,82,75,59,64,50,49,40,37,29,27,13,26,17,34,33
Wyoming,2,2,11,6,0,4,3,1,4,1,2,1,0,0,1,0,2